vid,email,firstname,lastname,createdate,lastmodifieddate,hs_lead_status,lifecyclestage,hs_analytics_source,country,company,jobtitle,num_associated_deals,stripe_customer_id,auth_user_id
100001,user1000@taskflow-demo.io,First0,Last0,2024-11-17T17:37:49Z,2025-06-15T17:38:02Z,CHURNED,other,Google Ads,CA,Company 0,Product Manager,1,cus_y6dpbhsahxthv3,a85748ca-ecbc-4adb-8e74-78f8bdea192f
100012,user1001@taskflow-demo.io,First1,Last1,2024-03-22T22:28:37Z,2024-08-23T15:49:09Z,CUSTOMER,customer,Organic Search,GH,Company 1,Founder,1,cus_mdd4v30t9nt3w5,5d436bb2-a95c-4e98-96c8-61930e2b2f25
100017,user1002@taskflow-demo.io,First2,Last2,2024-01-31T10:46:40Z,2025-06-29T18:13:45Z,CHURNED,other,Google Ads,NG,Company 2,Software Engineer,1,cus_5nq4fmyzycwtiq,815de1b8-3b5a-424a-825a-cd114f49b467
100027,user1003@taskflow-demo.io,First3,Last3,2024-11-19T07:03:44Z,2025-03-11T05:14:14Z,CUSTOMER,customer,Organic Search,NG,Company 3,Analyst,1,cus_c32oc6uzhr5xff,fe20706e-e165-43db-9acd-efa53596b67f
100029,user1004@taskflow-demo.io,First4,Last4,2024-05-10T03:26:48Z,2025-03-04T13:33:39Z,CUSTOMER,customer,Organic Search,GB,Company 4,CTO,1,cus_9er14ffyvnvqjt,51a0218e-e776-4656-ae1c-957978bd42c3
100037,user1005@taskflow-demo.io,First5,Last5,2024-02-23T17:33:09Z,2024-03-09T09:33:43Z,CUSTOMER,customer,Organic Search,GB,Company 5,Marketing Manager,1,cus_epq85jsg65kxvf,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e
100047,user1006@taskflow-demo.io,First6,Last6,2025-01-31T21:32:46Z,2025-06-13T17:23:58Z,CUSTOMER,customer,Product Hunt,ZA,Company 6,CTO,1,cus_en93iiuc039tex,4925651f-d88f-4d67-9bcd-8eeed2ff23a6
100055,user1007@taskflow-demo.io,First7,Last7,2024-09-21T21:19:15Z,2025-06-22T03:29:54Z,CUSTOMER,customer,Referral,GB,Company 7,Operations Lead,1,cus_0hl9xpseimvihc,d3b1c1ac-e9e8-4efa-8964-46379c40be7b
100062,user1008@taskflow-demo.io,First8,Last8,2024-01-30T03:07:51Z,2024-08-21T15:04:42Z,CHURNED,other,Product Hunt,ZA,Company 8,Marketing Manager,1,cus_he7ur23gdppq0y,f2eef9ce-5015-450e-95e0-939b51469d89
100065,user1009@taskflow-demo.io,First9,Last9,2024-07-18T00:39:29Z,2024-09-18T15:47:12Z,CHURNED,other,Organic Search,DE,Company 9,Analyst,1,cus_qpki7p5tb94874,675de9e0-437d-4aad-adaf-20656782b5fa
100076,user1010@taskflow-demo.io,First10,Last10,2024-09-01T05:19:04Z,2025-01-15T18:19:42Z,CUSTOMER,customer,Google Ads,KE,Company 10,Founder,1,cus_9j2qp89uzfk8ut,d7c6d246-8c74-4c20-9f60-57101e4049c4
100079,user1011@taskflow-demo.io,First11,Last11,2024-01-21T06:40:37Z,2025-05-15T16:01:21Z,CHURNED,other,Organic Search,GB,Company 11,Freelancer,1,cus_cgvyie6ivwpvs7,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29
100089,user1012@taskflow-demo.io,First12,Last12,2024-06-09T16:11:16Z,2024-08-26T00:36:24Z,CUSTOMER,customer,Google Ads,KE,Company 12,CTO,1,cus_l1cq99chj755nf,0ccf9328-3727-4a4d-88b8-756a6b7ee337
100094,user1013@taskflow-demo.io,First13,Last13,2024-11-09T16:48:35Z,2025-03-23T09:19:17Z,CUSTOMER,customer,Product Hunt,DE,Company 13,CEO,1,cus_t7d5j60fkhmy4s,f517dcd8-dc32-4d31-ab6e-2de001976345
100100,user1014@taskflow-demo.io,First14,Last14,2025-03-04T06:28:29Z,2025-03-25T16:42:52Z,CUSTOMER,customer,Google Ads,US,Company 14,CEO,1,cus_1wj0tpac56t4uf,f7c2ef0b-9b95-49e9-9526-ec64516d67c3
100111,user1015@taskflow-demo.io,First15,Last15,2024-06-28T12:29:34Z,2025-03-10T01:25:25Z,CUSTOMER,customer,Referral,CA,Company 15,Product Manager,1,cus_hid25owf75935a,7550d8ad-6dea-419d-a035-50bd7bde9134
100113,user1016@taskflow-demo.io,First16,Last16,2025-01-28T09:54:39Z,2025-04-06T04:43:41Z,CUSTOMER,customer,Product Hunt,DE,Company 16,Software Engineer,1,cus_j2d54i3qk2iagl,cd5dec38-72d1-4ebd-b151-ed91e18ee775
100121,user1017@taskflow-demo.io,First17,Last17,2024-05-18T12:08:03Z,2025-03-31T14:14:10Z,CUSTOMER,customer,Linkedin Ads,GB,Company 17,CEO,1,cus_la5ju9bvm2p9e6,6090b33b-8099-4f51-baaa-3a4e1a7e731f
100131,user1018@taskflow-demo.io,First18,Last18,2024-12-27T00:34:49Z,2025-06-07T02:58:44Z,CUSTOMER,customer,Linkedin Ads,GB,Company 18,Freelancer,1,cus_70hp87wxe6sylz,3d689740-b935-40de-b47a-3d9271032927
100134,user1019@taskflow-demo.io,First19,Last19,2024-08-01T01:31:32Z,2024-09-04T20:53:59Z,CHURNED,other,Organic Search,KE,Company 19,Designer,1,cus_ktakpuxqphr62g,34503f46-0ad3-4582-abb9-7da1c2e2a772
100146,user1020@taskflow-demo.io,First20,Last20,2024-11-30T00:45:52Z,2025-06-02T03:20:13Z,CUSTOMER,customer,Organic Search,GH,Company 20,Operations Lead,1,cus_yihair4cowgzri,ba26d547-bb66-4f7d-bf99-ca3409c391ca
100153,user1021@taskflow-demo.io,First21,Last21,2025-04-02T13:57:42Z,2025-06-09T06:27:46Z,CUSTOMER,customer,Referral,CA,Company 21,Software Engineer,1,cus_g8sbi4q2y9v86w,c1786355-8e91-43be-98db-17415633357a
100156,user1022@taskflow-demo.io,First22,Last22,2024-07-30T03:14:23Z,2025-01-08T19:43:49Z,CUSTOMER,customer,Referral,US,Company 22,Freelancer,1,cus_rjiw1swjckjlte,91069940-7a53-43f1-9fd7-ce6d52d525fb
100165,user1023@taskflow-demo.io,First23,Last23,2024-03-18T15:05:57Z,2024-04-08T13:36:33Z,CUSTOMER,customer,Organic Search,NG,Company 23,Analyst,1,cus_ohp6vz41nam148,6a1c083f-92f7-4340-b503-7d8cec8cc750
100172,user1024@taskflow-demo.io,First24,Last24,2025-01-06T07:20:40Z,2025-02-17T17:18:40Z,CUSTOMER,customer,Organic Search,US,Company 24,Marketing Manager,1,cus_rny20479t6vxdp,159ac321-0ec2-4047-a620-6899ec87b231
100177,user1025@taskflow-demo.io,First25,Last25,2024-05-08T08:45:59Z,2025-05-15T20:59:04Z,CUSTOMER,customer,Linkedin Ads,NG,Company 25,Designer,1,cus_n13jcat9mx2x18,da859367-c27c-4a3a-8d3f-d20771fe9d6f
100186,user1026@taskflow-demo.io,First26,Last26,2024-11-12T02:54:32Z,2025-02-19T12:11:28Z,CUSTOMER,customer,Google Ads,NG,Company 26,Product Manager,1,cus_hz1gv0e38daly8,275d38d5-e2ef-4f47-b3fd-5ee2508630f0
100195,user1027@taskflow-demo.io,First27,Last27,2024-04-10T11:03:40Z,2025-05-01T16:08:50Z,CHURNED,other,Google Ads,US,Company 27,Founder,1,cus_4ve92mpnsm43d8,f82ef9e7-3f07-451b-b1e1-8041d4780ea1
100200,user1028@taskflow-demo.io,First28,Last28,2024-08-16T06:03:49Z,2025-01-13T12:45:53Z,CUSTOMER,customer,Organic Search,GB,Company 28,CTO,1,cus_j3trp0j43d5iqv,3167426b-653b-4fdf-a550-0dd9dc010687
100204,user1029@taskflow-demo.io,First29,Last29,2024-09-09T17:41:12Z,2025-02-23T06:06:16Z,CUSTOMER,customer,Referral,NG,Company 29,CEO,1,cus_m5zja8dzr1yxr2,e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba
100214,user1030@taskflow-demo.io,First30,Last30,2024-07-21T17:37:24Z,2024-11-11T22:52:56Z,CUSTOMER,customer,Organic Search,GH,Company 30,Software Engineer,1,cus_tp0lzjjeget1gh,0e8241f7-fd44-4e63-9ba8-69626582981d
100221,user1031@taskflow-demo.io,First31,Last31,2024-10-22T23:10:05Z,2025-06-27T12:40:40Z,CHURNED,other,Product Hunt,GB,Company 31,Designer,1,cus_kmkzebbk7w1dak,37920d49-f1a8-417d-9969-a3280ee99608
100228,user1032@taskflow-demo.io,First32,Last32,2024-03-28T18:56:23Z,2024-05-05T16:01:24Z,CHURNED,other,Product Hunt,NG,Company 32,Analyst,1,cus_ocwbfuk9e1v2is,eb0e58b8-3c15-4c57-90e2-69d220c6172d
100237,user1033@taskflow-demo.io,First33,Last33,2024-05-25T18:43:28Z,2024-10-15T06:13:11Z,CUSTOMER,customer,Referral,BR,Company 33,CEO,1,cus_v08hhxfgcaqvki,59df24b5-2ef1-4873-ac81-91d4b02fcf33
100239,user1034@taskflow-demo.io,First34,Last34,2025-03-15T19:45:51Z,2025-04-08T01:40:08Z,CUSTOMER,customer,Linkedin Ads,US,Company 34,Founder,1,cus_wx7ptx63cfl0uk,ecb4f599-6c2c-4226-ab71-3d57208331f1
100247,user1035@taskflow-demo.io,First35,Last35,2024-05-29T16:23:37Z,2025-03-07T00:40:53Z,CUSTOMER,customer,Organic Search,IN,Company 35,Freelancer,1,cus_cbpljd84u89yjb,2b1d5a70-51a7-4c83-8dea-4b513031a91e
100255,user1036@taskflow-demo.io,First36,Last36,2024-11-22T09:58:07Z,2025-06-21T00:59:20Z,CUSTOMER,customer,Linkedin Ads,NG,Company 36,Marketing Manager,1,cus_38qoldforxo1bd,a76226a6-f8f2-4c53-9d95-29ae08804603
100264,user1037@taskflow-demo.io,First37,Last37,2025-01-28T18:58:46Z,2025-02-05T08:47:25Z,CUSTOMER,customer,Linkedin Ads,GB,Company 37,Analyst,1,cus_togn1w1ht7pze9,3fb4b418-a6b8-4405-a4f0-8162daa0fbd5
100268,user1038@taskflow-demo.io,First38,Last38,2024-12-26T08:04:56Z,2025-06-04T02:20:33Z,CHURNED,other,Google Ads,US,Company 38,CTO,1,cus_qe3rzsj49itn7s,3e2188ad-0a1f-4b29-8200-750a158a226e
100279,user1039@taskflow-demo.io,First39,Last39,2024-05-15T21:40:45Z,2025-06-17T14:38:24Z,CUSTOMER,customer,Referral,ZA,Company 39,Founder,1,cus_ja04ux5qrl1n75,9d1dfc62-9f83-444c-8fff-a3dfbc4b9589
100284,user1040@taskflow-demo.io,First40,Last40,2024-07-15T13:34:08Z,2024-10-07T08:02:25Z,CUSTOMER,customer,Google Ads,CA,Company 40,Designer,1,cus_z3nx39rbsv55ps,4f60b48f-01b0-4fcb-aa32-9f002b2a8706
