id,email,created,currency,delinquent,description,name,metadata.plan_at_signup,metadata.acquisition_channel,metadata.country
cus_y6dpbhsahxthv3,user1000@taskflow-demo.io,2024-11-23T15:43:29Z,usd,false,,User 1000,starter,google_ads,CA
cus_mdd4v30t9nt3w5,user1001@taskflow-demo.io,2024-03-22T04:38:18Z,usd,false,,User 1001,starter,organic_search,GH
cus_5nq4fmyzycwtiq,user1002@taskflow-demo.io,2024-02-05T04:47:42Z,usd,false,,User 1002,starter,google_ads,NG
cus_c32oc6uzhr5xff,user1003@taskflow-demo.io,2024-11-23T22:02:38Z,usd,false,,User 1003,starter,organic_search,NG
cus_9er14ffyvnvqjt,user1004@taskflow-demo.io,2024-05-14T10:19:32Z,usd,false,,User 1004,pro,organic_search,GB
cus_epq85jsg65kxvf,user1005@taskflow-demo.io,2024-02-28T22:07:17Z,usd,false,,User 1005,starter,organic_search,GB
cus_en93iiuc039tex,user1006@taskflow-demo.io,2025-02-02T22:36:30Z,usd,false,,User 1006,pro,product_hunt,ZA
cus_0hl9xpseimvihc,user1007@taskflow-demo.io,2024-09-27T20:53:13Z,usd,false,,User 1007,starter,referral,GB
cus_he7ur23gdppq0y,user1008@taskflow-demo.io,2024-02-04T15:18:45Z,usd,false,,User 1008,starter,product_hunt,ZA
cus_qpki7p5tb94874,user1009@taskflow-demo.io,2024-07-25T12:03:51Z,usd,false,,User 1009,starter,organic_search,DE
cus_9j2qp89uzfk8ut,user1010@taskflow-demo.io,2024-09-03T10:09:52Z,usd,false,,User 1010,starter,google_ads,KE
cus_cgvyie6ivwpvs7,user1011@taskflow-demo.io,2024-01-26T22:13:54Z,usd,false,,User 1011,business,organic_search,GB
cus_l1cq99chj755nf,user1012@taskflow-demo.io,2024-06-09T23:59:51Z,usd,false,,User 1012,pro,google_ads,KE
cus_t7d5j60fkhmy4s,user1013@taskflow-demo.io,2024-11-09T07:44:47Z,usd,false,,User 1013,pro,product_hunt,DE
cus_1wj0tpac56t4uf,user1014@taskflow-demo.io,2025-03-09T01:59:55Z,usd,false,,User 1014,business,google_ads,US
cus_hid25owf75935a,user1015@taskflow-demo.io,2024-07-05T05:54:31Z,usd,false,,User 1015,business,referral,CA
cus_j2d54i3qk2iagl,user1016@taskflow-demo.io,2025-02-04T23:25:19Z,usd,false,,User 1016,business,product_hunt,DE
cus_la5ju9bvm2p9e6,user1017@taskflow-demo.io,2024-05-22T21:58:54Z,usd,false,,User 1017,pro,linkedin_ads,GB
cus_70hp87wxe6sylz,user1018@taskflow-demo.io,2024-12-28T05:01:35Z,usd,false,,User 1018,business,linkedin_ads,GB
cus_ktakpuxqphr62g,user1019@taskflow-demo.io,2024-08-03T12:21:27Z,usd,false,,User 1019,pro,organic_search,KE
cus_yihair4cowgzri,user1020@taskflow-demo.io,2024-12-05T21:30:22Z,usd,false,,User 1020,business,organic_search,GH
cus_g8sbi4q2y9v86w,user1021@taskflow-demo.io,2025-04-02T12:25:04Z,usd,false,,User 1021,starter,referral,CA
cus_rjiw1swjckjlte,user1022@taskflow-demo.io,2024-08-06T16:46:18Z,usd,false,,User 1022,business,referral,US
cus_ohp6vz41nam148,user1023@taskflow-demo.io,2024-03-19T09:44:59Z,usd,false,,User 1023,pro,organic_search,NG
cus_rny20479t6vxdp,user1024@taskflow-demo.io,2025-01-11T06:44:54Z,usd,false,,User 1024,starter,organic_search,US
cus_n13jcat9mx2x18,user1025@taskflow-demo.io,2024-05-13T17:25:06Z,usd,false,,User 1025,starter,linkedin_ads,NG
cus_hz1gv0e38daly8,user1026@taskflow-demo.io,2024-11-14T04:20:48Z,usd,false,,User 1026,pro,google_ads,NG
cus_4ve92mpnsm43d8,user1027@taskflow-demo.io,2024-04-11T18:55:51Z,usd,false,,User 1027,pro,google_ads,US
cus_j3trp0j43d5iqv,user1028@taskflow-demo.io,2024-08-23T01:54:59Z,usd,false,,User 1028,pro,organic_search,GB
cus_m5zja8dzr1yxr2,user1029@taskflow-demo.io,2024-09-10T22:19:29Z,usd,false,,User 1029,starter,referral,NG
cus_tp0lzjjeget1gh,user1030@taskflow-demo.io,2024-07-26T20:10:36Z,usd,false,,User 1030,pro,organic_search,GH
cus_kmkzebbk7w1dak,user1031@taskflow-demo.io,2024-10-28T04:28:44Z,usd,false,,User 1031,starter,product_hunt,GB
cus_ocwbfuk9e1v2is,user1032@taskflow-demo.io,2024-04-04T15:18:57Z,usd,false,,User 1032,business,product_hunt,NG
cus_v08hhxfgcaqvki,user1033@taskflow-demo.io,2024-06-01T04:13:13Z,usd,false,,User 1033,starter,referral,BR
cus_wx7ptx63cfl0uk,user1034@taskflow-demo.io,2025-03-16T23:12:47Z,usd,false,,User 1034,business,linkedin_ads,US
cus_cbpljd84u89yjb,user1035@taskflow-demo.io,2024-06-04T20:00:23Z,usd,false,,User 1035,pro,organic_search,IN
cus_38qoldforxo1bd,user1036@taskflow-demo.io,2024-11-29T23:54:36Z,usd,false,,User 1036,business,linkedin_ads,NG
cus_togn1w1ht7pze9,user1037@taskflow-demo.io,2025-01-30T03:43:50Z,usd,false,,User 1037,business,linkedin_ads,GB
cus_qe3rzsj49itn7s,user1038@taskflow-demo.io,2024-12-29T04:24:27Z,usd,false,,User 1038,pro,google_ads,US
cus_ja04ux5qrl1n75,user1039@taskflow-demo.io,2024-05-21T21:53:10Z,usd,false,,User 1039,starter,referral,ZA
cus_z3nx39rbsv55ps,user1040@taskflow-demo.io,2024-07-15T01:06:22Z,usd,false,,User 1040,starter,google_ads,CA
cus_8myx444nlz15bc,user1041@taskflow-demo.io,2024-03-14T15:11:03Z,usd,false,,User 1041,starter,linkedin_ads,US
cus_py6b2knftu2gc5,user1042@taskflow-demo.io,2024-05-27T03:32:41Z,usd,false,,User 1042,pro,product_hunt,CA
cus_y6qktc89k8yqk9,user1043@taskflow-demo.io,2024-09-11T10:37:27Z,usd,false,,User 1043,pro,product_hunt,NG
cus_9xjuy0bvr6k2vm,user1044@taskflow-demo.io,2024-07-14T04:40:46Z,usd,false,,User 1044,business,organic_search,US
cus_w6xlpu0dk0get8,user1045@taskflow-demo.io,2024-05-08T12:15:02Z,usd,false,,User 1045,pro,organic_search,US
cus_30me8f840982n2,user1046@taskflow-demo.io,2024-05-19T03:15:25Z,usd,false,,User 1046,business,referral,NG
cus_37dia5u6hc36ko,user1047@taskflow-demo.io,2024-03-04T15:19:44Z,usd,false,,User 1047,pro,linkedin_ads,US
cus_eqy08p0fodro8b,user1048@taskflow-demo.io,2024-01-20T19:11:41Z,usd,false,,User 1048,starter,google_ads,GB
cus_t9moge4qxxva2i,user1049@taskflow-demo.io,2024-08-15T23:24:49Z,usd,false,,User 1049,starter,product_hunt,ZA
cus_lf6a4fejgxaa2i,user1050@taskflow-demo.io,2024-04-15T22:50:42Z,usd,false,,User 1050,starter,google_ads,CA
cus_r2sds8b25sq8cr,user1051@taskflow-demo.io,2024-05-15T21:05:49Z,usd,false,,User 1051,pro,google_ads,CA
cus_fewvznvksp2ex5,user1052@taskflow-demo.io,2024-02-25T14:55:52Z,usd,false,,User 1052,starter,linkedin_ads,ZA
cus_o0llj8yrddp0ne,user1053@taskflow-demo.io,2024-04-20T20:24:17Z,usd,false,,User 1053,pro,linkedin_ads,ZA
cus_7p6bkldsfr4mue,user1054@taskflow-demo.io,2024-10-14T20:41:28Z,usd,false,,User 1054,pro,organic_search,US
cus_yuvxybj17mgfxc,user1055@taskflow-demo.io,2025-02-17T11:00:07Z,usd,false,,User 1055,pro,linkedin_ads,US
cus_fll7v5f1bcppvo,user1056@taskflow-demo.io,2024-01-16T03:05:07Z,usd,false,,User 1056,starter,google_ads,GB
cus_slh9bh811kerpe,user1057@taskflow-demo.io,2024-02-28T15:41:42Z,usd,false,,User 1057,pro,google_ads,NG
cus_0pqclpoxko8g8q,user1058@taskflow-demo.io,2024-09-13T16:14:01Z,usd,false,,User 1058,starter,organic_search,US
cus_c50h2cwtg1m8xf,user1059@taskflow-demo.io,2024-02-15T18:36:36Z,usd,false,,User 1059,pro,linkedin_ads,NG
cus_quuy5x9l8lpqw2,user1060@taskflow-demo.io,2024-04-11T15:17:44Z,usd,false,,User 1060,pro,google_ads,NG
cus_kx9dvnu80b6ugv,user1061@taskflow-demo.io,2024-09-16T23:06:50Z,usd,false,,User 1061,starter,google_ads,GB
cus_dxbz9svn7n1ybw,user1062@taskflow-demo.io,2024-02-01T18:11:24Z,usd,false,,User 1062,business,linkedin_ads,DE
cus_8vfcx7lxxezdux,user1063@taskflow-demo.io,2024-02-18T15:41:44Z,usd,false,,User 1063,starter,organic_search,KE
cus_dysal8m1g9fk2s,user1064@taskflow-demo.io,2024-12-09T13:19:36Z,usd,false,,User 1064,business,organic_search,IN
cus_vfgyw6zbnz8v12,user1065@taskflow-demo.io,2025-03-28T04:06:20Z,usd,false,,User 1065,business,organic_search,US
cus_9qkns832ejx5td,user1066@taskflow-demo.io,2024-06-07T02:45:58Z,usd,false,,User 1066,business,product_hunt,CA
cus_3d6357oonncild,user1067@taskflow-demo.io,2024-05-25T17:11:25Z,usd,false,,User 1067,pro,google_ads,NG
cus_31qw6ahf7vp1ie,user1068@taskflow-demo.io,2025-02-09T22:01:25Z,usd,false,,User 1068,business,google_ads,NG
cus_twuzkamugysm8t,user1069@taskflow-demo.io,2025-02-10T17:52:34Z,usd,false,,User 1069,business,organic_search,NG
cus_0mcixdu1emmx3y,user1070@taskflow-demo.io,2024-07-18T16:31:04Z,usd,false,,User 1070,starter,referral,NG
cus_kbhb7s9tj1gm25,user1071@taskflow-demo.io,2024-04-03T16:53:37Z,usd,false,,User 1071,pro,referral,NG
cus_n9rr7s20cv3tlc,user1072@taskflow-demo.io,2025-02-13T17:45:52Z,usd,false,,User 1072,pro,linkedin_ads,ZA
cus_b5m9j98cwn2y8f,user1073@taskflow-demo.io,2024-08-16T20:07:48Z,usd,false,,User 1073,pro,organic_search,GB
cus_nuvy8n1utoxie0,user1074@taskflow-demo.io,2024-08-12T06:42:57Z,usd,false,,User 1074,pro,google_ads,NG
cus_9k6re4q6qdy4lm,user1075@taskflow-demo.io,2025-04-12T03:11:55Z,usd,false,,User 1075,starter,organic_search,NG
cus_w2sehe2atn2twd,user1076@taskflow-demo.io,2024-05-28T19:44:11Z,usd,false,,User 1076,pro,referral,ZA
cus_c9xqym52xg8p6b,user1077@taskflow-demo.io,2025-01-02T00:35:28Z,usd,false,,User 1077,pro,organic_search,GB
cus_764jwtektsg7fx,user1078@taskflow-demo.io,2024-06-04T10:07:02Z,usd,false,,User 1078,pro,google_ads,GH
cus_81jhuwb6txki3o,user1079@taskflow-demo.io,2024-06-21T04:36:13Z,usd,false,,User 1079,business,referral,US
cus_f5l9mo1sdieqfb,user1080@taskflow-demo.io,2024-01-31T20:10:05Z,usd,false,,User 1080,pro,google_ads,GB
cus_ul1rsrla8s8hmb,user1081@taskflow-demo.io,2024-08-02T17:16:54Z,usd,false,,User 1081,starter,google_ads,ZA
